weed_count,date,client,user,weed_diameter,size,height,weed_placement,weed_type,weed_name,weed_applied
84,2024-01-01,Tobias,Mate,,25,,FURROW,,LCG,1
85,2024-01-01,Tobias,Mate,,9,,FURROW,,CP,1
86,2024-01-01,Tobias,Mate,,25,,FURROW,,CP,1
87,2024-01-01,Tobias,Mate,,25,,FURROW,,CP,1
88,2024-01-01,Tobias,Mate,,25,,FURROW,,LCG,1
89,2024-01-01,Tobias,Mate,,25,,FURROW,,CORN,1
90,2024-01-01,Tobias,Mate,,25,,ROW,,LCG,1
91,2024-01-01,Tobias,Mate,,25,,FURROW,,LCG,1
92,2024-01-01,Tobias,Mate,,25,,FURROW,,LCG,1
93,2024-01-01,Tobias,Mate,,25,,FURROW,,LCG,1
94,2024-01-01,Tobias,Mate,,20,,FURROW,,LCG,1
95,2024-01-01,Tobias,Mate,,15,,ROW,,LCG,1
96,2024-01-01,Tobias,Mate,,15,,FURROW,,COMMON (*),1
97,2024-01-01,Tobias,Mate,,15,,FURROW,,LCG,1
98,2024-01-01,Tobias,Mate,,15,,FURROW,,LCG,1
99,2024-01-01,Tobias,Mate,,25,,FURROW,,LCG,1
100,2024-01-01,Tobias,Mate,,25,,FURROW,,LCG,1
101,2024-01-01,Tobias,Mate,,5,,FURROW,,CP,1
102,2024-01-01,Tobias,Mate,,25,,ROW,,CP,1
103,2024-01-01,Tobias,Mate,,>25,,FURROW,,CP,1
104,2024-01-01,Tobias,Mate,,15,,FURROW,,SOLANUM,1
105,2024-01-01,Tobias,Mate,,>25,,FURROW,,LCG,1
106,2024-01-01,Tobias,Mate,,20,,FURROW,,CP,1
107,2024-01-01,Tobias,Mate,,25,,FURROW,,CP,1
108,2024-01-01,Tobias,Mate,,25,,ROW,,LCG,1
109,2024-01-01,Tobias,Mate,,15,,ROW,,CP,1
110,2024-01-01,Tobias,Mate,,25,,ROW,,LCG,1
111,2024-01-01,Tobias,Mate,,25,,ROW,,CP,1
112,2024-01-01,Tobias,Mate,,25,,FURROW,,CP,1
113,2024-01-01,Tobias,Mate,,25,,ROW,,LCG,1
114,2024-01-01,Tobias,Mate,,25,,FURROW,,CP,1
115,2024-01-01,Tobias,Mate,,25,,FURROW,,CP,1
116,2024-01-01,Tobias,Mate,,25,,FURROW,,LCG,1
117,2024-01-01,Tobias,Mate,,25,,ROW,,CP,1
118,2024-01-01,Tobias,Mate,,25,,FURROW,,CP,1
119,2024-01-01,Tobias,Mate,,25,,ROW,,CP,1
120,2024-01-01,Tobias,Mate,,9,,FURROW,,CP,1
121,2024-01-01,Tobias,Mate,,25,,ROW,,LCG,1
122,2024-01-01,Tobias,Mate,,20,,ROW,,CP,1
123,2024-01-01,Tobias,Mate,,9,,FURROW,,LCG,1
124,2024-01-01,Tobias,Mate,,20,,FURROW,,CP,1
125,2024-01-01,Tobias,Mate,,15,,ROW,,CP,1
126,2024-01-01,Tobias,Mate,,20,,FURROW,,CP,1
127,2024-01-01,Tobias,Mate,,25,,ROW,,CP,1
128,2024-01-01,Tobias,Mate,,7,,ROW,,CP,1
129,2024-01-01,Tobias,Mate,,9,,FURROW,,CP,1
130,2024-01-01,Tobias,Mate,,25,,ROW,,CP,1
131,2024-01-01,Tobias,Mate,,25,,ROW,,CP,1
132,2024-01-01,Tobias,Mate,,25,,ROW,,LCG,1
133,2024-01-01,Tobias,Mate,,25,,FURROW,,LCG,1
134,2024-01-01,Tobias,Mate,,9,,FURROW,,SOLANUM,1
135,2024-01-01,Tobias,Mate,,7,,FURROW,,LCG,1
136,2024-01-01,Tobias,Mate,,20,,FURROW,,CP,1
137,2024-01-01,Tobias,Mate,,25,,FURROW,,LCG,1
138,2024-01-01,Tobias,Mate,,25,,ROW,,LCG,1
139,2024-01-01,Tobias,Mate,,15,,FURROW,,CP,1
140,2024-01-01,Tobias,Mate,,25,,FURROW,,LCG,1
141,2024-01-01,Tobias,Mate,,25,,FURROW,,LCG,1
142,2024-01-01,Tobias,Mate,,9,,FURROW,,CP,1
143,2024-01-01,Tobias,Mate,,25,,FURROW,,CP,1
144,2024-01-01,Tobias,Mate,,25,,ROW,,CP,1
145,2024-01-01,Tobias,Mate,,25,,ROW,,LCG,1
146,2024-01-01,Tobias,Mate,,15,,ROW,,CP,1
147,2024-01-01,Tobias,Mate,,20,,FURROW,,CP,1
148,2024-01-01,Tobias,Mate,,25,,ROW,,SOLANUM,1
149,2024-01-01,Tobias,Mate,,25,,FURROW,,SOLANUM,1
150,2024-01-01,Tobias,Mate,,25,,ROW,,LCG,1
151,2024-01-01,Tobias,Mate,,25,,FURROW,,CP,1
