weed_count,date,client,user,weed_diameter,size,height,weed_placement,weed_type,weed_name,weed_applied
35,2021-12-01,Juan,Mate,15.0,176.63,,ROW,HA,Xanthium cavanillesii,1
36,2021-12-01,Juan,Mate,,20.0,,ROW,HA,Xanthium cavanillesii,0
37,2021-12-01,Juan,Mate,10.0,78.5,,FURROW,HA,Xanthium cavanillesii,1
38,2021-12-01,Juan,Mate,15.0,176.63,,FURROW,HA,Xanthium cavanillesii,0
39,2021-12-01,Juan,Mate,15.0,176.63,,FURROW,HA,Xanthium cavanillesii,1
40,2021-12-01,Juan,Mate,20.0,314.0,,ROW,HA,Xanthium cavanillesii,1
41,2021-12-01,Juan,Mate,10.0,78.5,,FURROW,HA,Xanthium cavanillesii,1
42,2021-12-01,Juan,Mate,25.0,490.63,,ROW,HA,Xanthium cavanillesii,1
43,2021-12-01,Juan,Mate,15.0,176.63,,FURROW,HA,Xanthium cavanillesii,0
44,2021-12-01,Juan,Mate,20.0,314.0,,FURROW,HA,Xanthium cavanillesii,1
45,2021-12-01,Juan,Mate,,25.0,,ROW,G,Maíz voluntario,1
46,2021-12-01,Juan,Mate,20.0,314.0,,FURROW,HA,Xanthium cavanillesii,0
47,2021-12-01,Juan,Mate,,25.0,,ROW,HA,Xanthium cavanillesii,1
48,2021-12-01,Juan,Mate,15.0,176.63,,ROW,HA,Xanthium cavanillesii,1
49,2021-12-01,Juan,Mate,,9.0,,FURROW,HA,Xanthium cavanillesii,0
50,2021-12-01,Juan,Mate,,25.0,,ROW,G,Maíz voluntario,1
51,2021-12-01,Juan,Mate,15.0,176.63,,FURROW,HA,Xanthium cavanillesii,0
52,2021-12-01,Juan,Mate,,0.0,,ROW,HA,Xanthium cavanillesii,0
53,2021-12-01,Juan,Mate,,0.0,,FURROW,HA,Xanthium cavanillesii,1
54,2021-12-01,Juan,Mate,,0.0,,FURROW,HA,Xanthium cavanillesii,1
55,2021-12-01,Juan,Mate,,0.0,,ROW,HA,Xanthium cavanillesii,1
56,2021-12-01,Juan,Mate,,0.0,,FURROW,HA,Xanthium cavanillesii,1
57,2021-12-01,Juan,Mate,15.0,176.63,,ROW,HA,Xanthium cavanillesii,1
58,2021-12-01,Juan,Mate,15.0,176.63,,FURROW,HA,Xanthium cavanillesii,1
59,2021-12-01,Juan,Mate,10.0,78.5,,FURROW,HA,Xanthium cavanillesii,1
60,2021-12-01,Juan,Mate,20.0,314.0,,FURROW,HA,Xanthium cavanillesii,1
61,2021-12-01,Juan,Mate,10.0,78.5,,ROW,HA,Xanthium cavanillesii,0
62,2021-12-01,Juan,Mate,,25.0,,FURROW,HA,Xanthium cavanillesii,0
63,2021-12-01,Juan,Mate,,15.0,,FURROW,HA,Xanthium cavanillesii,0
64,2021-12-01,Juan,Mate,,15.0,,FURROW,G,Maíz voluntario,1
65,2021-12-01,Juan,Mate,15.0,176.63,,ROW,HA,Xanthium cavanillesii,1
66,2021-12-01,Juan,Mate,20.0,314.0,,FURROW,HA,Xanthium cavanillesii,0
67,2021-12-01,Juan,Mate,15.0,176.63,,ROW,G,Maíz voluntario,1
68,2021-12-01,Juan,Mate,,25.0,,ROW,HA,Xanthium cavanillesii,1
69,2021-12-01,Juan,Mate,,25.0,,FURROW,HA,Xanthium cavanillesii,0
70,2021-12-01,Juan,Mate,,25.0,,FURROW,HA,Xanthium cavanillesii,1
71,2021-12-01,Juan,Mate,15.0,176.63,,FURROW,HA,Xanthium cavanillesii,1
72,2021-12-01,Juan,Mate,15.0,176.63,,FURROW,HA,Xanthium cavanillesii,1
73,2021-12-01,Juan,Mate,10.0,78.5,,ROW,HA,Xanthium cavanillesii,1
74,2021-12-01,Juan,Mate,20.0,314.0,,ROW,G,Maíz voluntario,1
75,2021-12-01,Juan,Mate,10.0,78.5,,ROW,HA,Xanthium cavanillesii,1
76,2021-12-01,Juan,Mate,10.0,78.5,,FURROW,HA,Xanthium cavanillesii,1
77,2021-12-01,Juan,Mate,,0.0,,<NA>,HA,Xanthium cavanillesii,1
78,2021-12-01,Juan,Mate,,25.0,,FURROW,HA,Xanthium cavanillesii,1
79,2021-12-01,Juan,Mate,,15.0,,FURROW,HA,Xanthium cavanillesii,0
80,2021-12-01,Juan,Mate,15.0,176.63,,FURROW,HA,Xanthium cavanillesii,1
81,2021-12-01,Juan,Mate,10.0,78.5,,FURROW,HA,Xanthium cavanillesii,0
82,2021-12-01,Juan,Mate,,20.0,,ROW,HA,Xanthium cavanillesii,1
83,2021-12-01,Juan,Mate,15.0,176.63,,FURROW,HA,Xanthium cavanillesii,1
84,2021-12-01,Juan,Mate,,0.0,,<NA>,HA,Xanthium cavanillesii,1
85,2021-12-01,Juan,Mate,,0.0,,<NA>,HA,Xanthium cavanillesii,0
86,2021-12-01,Juan,Mate,,0.0,,<NA>,HA,Xanthium cavanillesii,1
87,2021-12-01,Juan,Mate,,0.0,,<NA>,HA,Xanthium cavanillesii,1
88,2021-12-01,Juan,Mate,,0.0,,<NA>,HA,Xanthium cavanillesii,1
89,2021-12-01,Juan,Mate,,0.0,,<NA>,HA,Xanthium cavanillesii,1
90,2021-12-01,Juan,Mate,,0.0,,<NA>,HA,Xanthium cavanillesii,0
91,2021-12-01,Juan,Mate,,0.0,,<NA>,HA,Xanthium cavanillesii,1
92,2021-12-01,Juan,Mate,,0.0,,<NA>,HA,Xanthium cavanillesii,1
93,2021-12-01,Juan,Mate,,0.0,,<NA>,HA,Xanthium cavanillesii,0
94,2021-12-01,Juan,Mate,,0.0,,<NA>,HA,Xanthium cavanillesii,0
95,2021-12-01,Juan,Mate,10.0,78.5,,FURROW,G,Maíz voluntario,1
96,2021-12-01,Juan,Mate,10.0,78.5,,FURROW,G,Maíz voluntario,0
97,2021-12-01,Juan,Mate,,0.0,,<NA>,HA,Xanthium cavanillesii,1
98,2021-12-01,Juan,Mate,10.0,78.5,,FURROW,G,Maíz voluntario,1
99,2021-12-01,Juan,Mate,10.0,78.5,,FURROW,HA,Xanthium cavanillesii,1
100,2021-12-01,Juan,Mate,,25.0,,FURROW,HA,Xanthium cavanillesii,1
101,2021-12-01,Juan,Mate,10.0,78.5,,ROW,HA,Bassia scoparia,1
102,2021-12-01,Juan,Mate,,9.0,,ROW,G,Maíz voluntario,1
103,2021-12-01,Juan,Mate,15.0,176.63,,FURROW,HA,Bassia scoparia,1
104,2021-12-01,Juan,Mate,,25.0,,FURROW,HA,Bassia scoparia,1
105,2021-12-01,Juan,Mate,,25.0,,FURROW,G,Maíz voluntario,1
106,2021-12-01,Juan,Mate,10.0,78.5,,FURROW,HA,Conyza sp,1
107,2021-12-01,Juan,Mate,,25.0,,ROW,HA,Conyza sp,1
108,2021-12-01,Juan,Mate,,20.0,,FURROW,HA,Xanthium cavanillesii,0
109,2021-12-01,Juan,Mate,,9.0,,ROW,G,Maíz voluntario,0
110,2021-12-01,Juan,Mate,,0.0,,<NA>,,,
111,2021-12-01,Juan,Mate,,0.0,,<NA>,HA,Bassia scoparia,1
112,2021-12-01,Juan,Mate,,20.0,,ROW,G,Maíz voluntario,1
113,2021-12-01,Juan,Mate,,7.0,,ROW,G,Maíz voluntario,1
114,2021-12-01,Juan,Mate,15.0,176.63,,FURROW,G,Maíz voluntario,1
115,2021-12-01,Juan,Mate,10.0,78.5,,FURROW,G,Maíz voluntario,0
116,2021-12-01,Juan,Mate,,0.0,,FURROW,HA,Bassia scoparia,1
117,2021-12-01,Juan,Mate,,0.0,,ROW,HA,Bassia scoparia,1
118,2021-12-01,Juan,Mate,,25.0,,FURROW,G,,1
119,2021-12-01,Juan,Mate,30.0,706.5,,FURROW,HA,Bassia scoparia,1
120,2021-12-01,Juan,Mate,30.0,706.5,,FURROW,HA,Bassia scoparia,1
121,2021-12-01,Juan,Mate,50.0,1962.5,,FURROW,HA,Bassia scoparia,1
122,2021-12-01,Juan,Mate,20.0,314.0,,FURROW,HA,Bassia scoparia,1
123,2021-12-01,Juan,Mate,25.0,490.63,,FURROW,HA,Xanthium cavanillesii,0
124,2021-12-01,Juan,Mate,,25.0,,ROW,HA,Conyza sp,1
125,2021-12-01,Juan,Mate,10.0,78.5,,FURROW,HA,Bassia scoparia,1
126,2021-12-01,Juan,Mate,15.0,176.63,,ROW,HA,Bassia scoparia,1
127,2021-12-01,Juan,Mate,,25.0,,FURROW,G,Maíz voluntario,0
128,2021-12-01,Juan,Mate,10.0,78.5,,ROW,G,Maíz voluntario,1
129,2021-12-01,Juan,Mate,,25.0,,FURROW,G,Maíz voluntario,1
130,2021-12-01,Juan,Mate,15.0,176.63,,ROW,HA,Bassia scoparia,1
131,2021-12-01,Juan,Mate,50.0,1962.5,,FURROW,HA,Bassia scoparia,1
132,2021-12-01,Juan,Mate,,25.0,,FURROW,HA,Bassia scoparia,1
133,2021-12-01,Juan,Mate,,25.0,,ROW,G,Maíz voluntario,1
134,2021-12-01,Juan,Mate,,20.0,,FURROW,G,Maíz voluntario,1
135,2021-12-01,Juan,Mate,,20.0,,FURROW,G,Maíz voluntario,1
136,2021-12-01,Juan,Mate,,20.0,,ROW,HA,Xanthium cavanillesii,0
137,2021-12-01,Juan,Mate,20.0,314.0,,FURROW,HA,Bassia scoparia,1
138,2021-12-01,Juan,Mate,10.0,78.5,,FURROW,HA,Xanthium cavanillesii,1
139,2021-12-01,Juan,Mate,,25.0,,ROW,G,Maíz voluntario,1
140,2021-12-01,Juan,Mate,10.0,78.5,,FURROW,HA,Bassia scoparia,0
141,2021-12-01,Juan,Mate,,0.0,,<NA>,,,
142,2021-12-01,Juan,Mate,10.0,78.5,,ROW,HA,Xanthium cavanillesii,1
143,2021-12-01,Juan,Mate,20.0,314.0,,FURROW,HA,Bassia scoparia,1
144,2021-12-01,Juan,Mate,,20.0,,ROW,HA,Bassia scoparia,1
145,2021-12-01,Juan,Mate,,15.0,,FURROW,G,Maíz voluntario,1
146,2021-12-01,Juan,Mate,20.0,314.0,,ROW,HA,Bassia scoparia,1
147,2021-12-01,Juan,Mate,,0.0,,<NA>,,,
148,2021-12-01,Juan,Mate,,0.0,,FURROW,HA,Bassia scoparia,1
149,2021-12-01,Juan,Mate,,0.0,,ROW,HA,Bassia scoparia,1
150,2021-12-01,Juan,Mate,,0.0,,FURROW,HA,Bassia scoparia,1
